id,datetime,platform,mgrs,cloudCoverPct,nodataPct,cloudShadowPct,thinCirrusPct,sunElevationDeg,sunAzimuthDeg,meanSolarZenithDeg,coreFootprintOverlapFraction,rankingPenaltyLowerIsBetter,allRequiredOpticalAssets
S2A_T53NMJ_20230424T013450_L2A,2023-04-24T01:35:12.200000Z,sentinel-2a,53NMJ,1.43689,0.0,0.25133,0.284916,68.557857528573,74.5451032639719,21.442142471427005,1.0,2.286496,True
S2A_T53NMJ_20230514T013451_L2A,2023-05-14T01:35:12.901000Z,sentinel-2a,53NMJ,1.991639,0.0,0.198662,1.626219,67.1285923993977,59.5423836385034,22.871407600602296,1.0,3.113207,True
S2B_T53NMJ_20240513T013450_L2A,2024-05-13T01:35:12.520000Z,sentinel-2b,53NMJ,3.109004,0.0,0.435204,0.047113,67.15161576566891,59.6803243450043,22.848384234331093,1.0,4.826128,True
S2B_T53NMJ_20230529T013455_L2A,2023-05-29T01:35:17.075000Z,sentinel-2b,53NMJ,3.520824,0.0,0.347713,1.728697,65.4871593935612,53.1867022395567,24.5128406064388,1.0,5.444794,True
S2B_T53NMJ_20231225T013452_L2A,2023-12-25T01:35:14.088000Z,sentinel-2b,53NMJ,2.531568,0.0,0.38321,0.0,52.4920003691438,146.423991543502,37.5079996308562,1.0,5.765851,True
S2A_T53NMJ_20231031T013450_L2A,2023-10-31T01:35:12.075000Z,sentinel-2a,53NMJ,4.458383,0.0,0.306067,0.565449,62.2603434175015,141.134153201114,27.739656582498498,1.0,6.814186,True
S2B_T53NMJ_20231026T013455_L2A,2023-10-26T01:35:13.490000Z,sentinel-2b,53NMJ,4.635993,0.0,0.612334,0.065706,63.4609277554207,138.57699138455,26.5390722445793,1.0,7.276506,True
S2B_T53NMJ_20251015T013450_L2A,2025-10-15T01:35:12.329000Z,sentinel-2b,53NMJ,5.070643,0.0,0.843743,0.000534,65.7821088017306,131.635909208355,24.2178911982694,1.0,8.273802,True
S2C_T53NMJ_20250423T013513_L2A,2025-04-23T01:35:34.584000Z,sentinel-2c,53NMJ,5.547142,0.0,0.699367,0.005139,68.6649267013695,74.9397539626635,21.335073298630505,1.0,8.681511,True
S2B_T53NMJ_20260324T013448_L2A,2026-03-24T01:35:09.743000Z,sentinel-2b,53NMJ,5.708823,0.0,0.306177,2.586853,66.0347792168152,104.052376674922,23.965220783184805,1.0,8.849796,True
S2B_T53NMJ_20241119T013449_L2A,2024-11-19T01:35:11.549000Z,sentinel-2b,53NMJ,6.300231,0.0,0.743023,3.827525,57.5726948518729,147.196955046261,32.4273051481271,1.0,9.810782,True
S2A_T53NMJ_20230223T013450_L2A,2023-02-23T01:35:10.254000Z,sentinel-2a,53NMJ,6.647459,0.0,0.677599,0.142478,59.5235550512014,124.955342429036,30.4764449487986,1.0,10.379485,True
S2A_T53NMJ_20240408T013450_L2A,2024-04-08T01:35:11.838000Z,sentinel-2a,53NMJ,6.928477,0.0,0.510678,0.009383,68.1230348733536,89.3459070876388,21.876965126646397,1.0,10.748087,True
S2B_T53NMJ_20260403T013449_L2A,2026-04-03T01:35:11.528000Z,sentinel-2b,53NMJ,7.514806,0.0,0.580323,0.002804,67.5644758882416,94.7500066449108,22.435524111758397,1.0,11.598894,True
S2A_T53NMJ_20231021T013451_L2A,2023-10-21T01:35:12.252000Z,sentinel-2a,53NMJ,7.321427,5.014824,0.509263,0.095569,64.6094875781327,135.532646355946,25.3905124218673,1.0,13.605867,True
S2A_T53NMJ_20231230T013448_L2A,2023-12-30T01:35:09.832000Z,sentinel-2a,53NMJ,7.586252,0.0,0.802187,0.664102,52.31150834888,145.45789658582,37.68849165112,1.0,13.670257,True
S2C_T53NMJ_20260428T013452_L2A,2026-04-28T01:35:13.531000Z,sentinel-2c,53NMJ,9.205855,0.0,0.2783,7.360646,68.4141761389771,70.7671258919486,21.585823861022902,1.0,13.913374,True
S2A_T53NMJ_20240109T013446_L2A,2024-01-09T01:35:08.245000Z,sentinel-2a,53NMJ,8.023089,0.0,0.777572,1.857406,52.4261406382764,143.080952809835,37.5738593617236,1.0,14.187638,True
S2C_T53NMJ_20250513T013508_L2A,2025-05-13T01:35:30.302000Z,sentinel-2c,53NMJ,9.888311,0.0,0.423807,4.026885,67.2451273518824,59.7384859302864,22.754872648117598,1.0,14.924368,True
S2A_T53NMJ_20241005T013451_L2A,2024-10-05T01:35:13.382000Z,sentinel-2a,53NMJ,9.940372,0.0,0.520536,4.698647,67.536162996196,123.279871361945,22.463837003804002,1.0,15.005041,True
