id,datetime,platform,mgrs,cloudCoverPct,nodataPct,cloudShadowPct,thinCirrusPct,meanSolarZenithDeg,coreFootprintOverlapFraction,rankingPenaltyLowerIsBetter,allRequiredOpticalAssets
S2A_T53NMJ_20230424T013450_L2A,2023-04-24T01:35:12.200000Z,sentinel-2a,53NMJ,1.43689,0.0,0.25133,0.284916,,1.0,2.286496,True
S2A_T53NMJ_20230514T013451_L2A,2023-05-14T01:35:12.901000Z,sentinel-2a,53NMJ,1.991639,0.0,0.198662,1.626219,,1.0,3.113207,True
S2B_T53NMJ_20231225T013452_L2A,2023-12-25T01:35:14.088000Z,sentinel-2b,53NMJ,2.531568,0.0,0.38321,0.0,,1.0,4.010251,True
S2B_T53NMJ_20240513T013450_L2A,2024-05-13T01:35:12.520000Z,sentinel-2b,53NMJ,3.109004,0.0,0.435204,0.047113,,1.0,4.826128,True
S2B_T53NMJ_20230529T013455_L2A,2023-05-29T01:35:17.075000Z,sentinel-2b,53NMJ,3.520824,0.0,0.347713,1.728697,,1.0,5.444794,True
S2A_T53NMJ_20231031T013450_L2A,2023-10-31T01:35:12.075000Z,sentinel-2a,53NMJ,4.458383,0.0,0.306067,0.565449,,1.0,6.814186,True
S2B_T53NMJ_20231026T013455_L2A,2023-10-26T01:35:13.490000Z,sentinel-2b,53NMJ,4.635993,0.0,0.612334,0.065706,,1.0,7.276506,True
S2B_T53NMJ_20251015T013450_L2A,2025-10-15T01:35:12.329000Z,sentinel-2b,53NMJ,5.070643,0.0,0.843743,0.000534,,1.0,8.273802,True
S2C_T53NMJ_20250423T013513_L2A,2025-04-23T01:35:34.584000Z,sentinel-2c,53NMJ,5.547142,0.0,0.699367,0.005139,,1.0,8.681511,True
S2B_T53NMJ_20260324T013448_L2A,2026-03-24T01:35:09.743000Z,sentinel-2b,53NMJ,5.708823,0.0,0.306177,2.586853,,1.0,8.849796,True
S2B_T53NMJ_20241119T013449_L2A,2024-11-19T01:35:11.549000Z,sentinel-2b,53NMJ,6.300231,0.0,0.743023,3.827525,,1.0,9.810782,True
S2A_T53NMJ_20230223T013450_L2A,2023-02-23T01:35:10.254000Z,sentinel-2a,53NMJ,6.647459,0.0,0.677599,0.142478,,1.0,10.379485,True
S2A_T53NMJ_20240408T013450_L2A,2024-04-08T01:35:11.838000Z,sentinel-2a,53NMJ,6.928477,0.0,0.510678,0.009383,,1.0,10.748087,True
S2B_T53NMJ_20260403T013449_L2A,2026-04-03T01:35:11.528000Z,sentinel-2b,53NMJ,7.514806,0.0,0.580323,0.002804,,1.0,11.598894,True
S2A_T53NMJ_20231230T013448_L2A,2023-12-30T01:35:09.832000Z,sentinel-2a,53NMJ,7.586252,0.0,0.802187,0.664102,,1.0,11.788313,True
S2A_T53NMJ_20240109T013446_L2A,2024-01-09T01:35:08.245000Z,sentinel-2a,53NMJ,8.023089,0.0,0.777572,1.857406,,1.0,12.385936,True
S2A_T53NMJ_20231021T013451_L2A,2023-10-21T01:35:12.252000Z,sentinel-2a,53NMJ,7.321427,5.014824,0.509263,0.095569,,1.0,13.605867,True
S2C_T53NMJ_20260428T013452_L2A,2026-04-28T01:35:13.531000Z,sentinel-2c,53NMJ,9.205855,0.0,0.2783,7.360646,,1.0,13.913374,True
S2B_T53NMJ_20250108T013451_L2A,2025-01-08T01:35:12.939000Z,sentinel-2b,53NMJ,9.213237,0.0,0.423708,0.0,,1.0,14.093011,True
S2C_T53NMJ_20250513T013508_L2A,2025-05-13T01:35:30.302000Z,sentinel-2c,53NMJ,9.888311,0.0,0.423807,4.026885,,1.0,14.924368,True
