lon,lat,depth_m_chart_datum,enc_cell
134.4901276,7.3970165,12.6,US4TB3P0
134.4902191,7.2809196,27.1,US4TB3P0
134.4902344,7.3264556,21.0,US4TB3P0
134.4903107,7.3749557,13.8,US4TB3P0
134.4903412,7.359097,23.5,US4TB3P0
134.4904022,7.3685193,23.8,US4TB3P0
134.490448,7.3918638,11.5,US4TB3P0
134.4904633,7.3881555,2.1,US4TB3P0
134.4904785,7.3848391,20.9,US4TB3P0
134.4905243,7.2839055,27.6,US4TB3P0
134.4905396,7.3773723,14.5,US4TB3P0
134.4905853,7.4013944,15.0,US4TB3P0
134.4906921,7.3811193,9.5,US4TB3P0
134.4907379,7.2779446,24.6,US4TB3P0
134.4907379,7.2901807,27.2,US4TB3P0
134.4907684,7.2730918,8.2,US4TB3P0
134.490799,7.3802109,4.8,US4TB3P0
134.4908295,7.2848415,28.7,US4TB3P0
134.4908752,7.3835306,17.9,US4TB3P0
134.4911041,7.2787499,25.4,US4TB3P0
134.4911041,7.2946973,27.4,US4TB3P0
134.4912109,7.3763723,12.0,US4TB3P0
134.4912109,7.3885083,18.3,US4TB3P0
134.491272,7.271872,16.1,US4TB3P0
134.4913483,7.328578,15.7,US4TB3P0
134.4913635,7.2865415,39.0,US4TB3P0
134.4913788,7.3342667,15.7,US4TB3P0
134.4914093,7.2985249,12.1,US4TB3P0
134.4914246,7.2918,27.0,US4TB3P0
134.4914246,7.3253331,21.0,US4TB3P0
134.4914398,7.2974277,33.0,US4TB3P0
134.4914398,7.3964305,2.1,US4TB3P0
134.4915466,7.2826085,26.9,US4TB3P0
134.4915619,7.2736416,4.1,US4TB3P0
134.4915619,7.3724113,23.7,US4TB3P0
134.4915924,7.3752999,9.3,US4TB3P0
134.4916382,7.2706084,24.8,US4TB3P0
134.4916687,7.288775,27.8,US4TB3P0
134.4917297,7.3330498,21.0,US4TB3P0
134.4918213,7.2725611,8.7,US4TB3P0
134.4918518,7.3310251,23.0,US4TB3P0
