sample_index,time_utc,relative_tide_mm_window_mean_removed,quality,record_id,uhslc_id,reference_datum,absolute_datum_transform_applied
0,1997-11-26T16:00:00Z,-1571,4,6321,632,station zero,false
1,1997-11-26T17:00:00Z,-1751,4,6321,632,station zero,false
2,1997-11-26T18:00:00Z,-1501,4,6321,632,station zero,false
3,1997-11-26T19:00:00Z,-801,4,6321,632,station zero,false
4,1997-11-26T20:00:00Z,59,4,6321,632,station zero,false
5,1997-11-26T21:00:00Z,939,4,6321,632,station zero,false
6,1997-11-26T22:00:00Z,1589,4,6321,632,station zero,false
7,1997-11-26T23:00:00Z,1959,4,6321,632,station zero,false
8,1997-11-27T00:00:00Z,1899,4,6321,632,station zero,false
9,1997-11-27T01:00:00Z,1389,4,6321,632,station zero,false
10,1997-11-27T02:00:00Z,629,4,6321,632,station zero,false
11,1997-11-27T03:00:00Z,-371,4,6321,632,station zero,false
12,1997-11-27T04:00:00Z,-1181,4,6321,632,station zero,false
13,1997-11-27T05:00:00Z,-1661,4,6321,632,station zero,false
14,1997-11-27T06:00:00Z,-1451,4,6321,632,station zero,false
15,1997-11-27T07:00:00Z,-1011,4,6321,632,station zero,false
16,1997-11-27T08:00:00Z,-161,4,6321,632,station zero,false
17,1997-11-27T09:00:00Z,699,4,6321,632,station zero,false
18,1997-11-27T10:00:00Z,1469,4,6321,632,station zero,false
19,1997-11-27T11:00:00Z,1839,4,6321,632,station zero,false
20,1997-11-27T12:00:00Z,1719,4,6321,632,station zero,false
21,1997-11-27T13:00:00Z,1199,4,6321,632,station zero,false
22,1997-11-27T14:00:00Z,339,4,6321,632,station zero,false
23,1997-11-27T15:00:00Z,-721,4,6321,632,station zero,false
24,1997-11-27T16:00:00Z,-1691,4,6321,632,station zero,false
25,1997-11-27T17:00:00Z,-2271,4,6321,632,station zero,false
26,1997-11-27T18:00:00Z,-2301,4,6321,632,station zero,false
27,1997-11-27T19:00:00Z,-1821,4,6321,632,station zero,false
28,1997-11-27T20:00:00Z,-981,4,6321,632,station zero,false
29,1997-11-27T21:00:00Z,9,4,6321,632,station zero,false
30,1997-11-27T22:00:00Z,1039,4,6321,632,station zero,false
31,1997-11-27T23:00:00Z,1849,4,6321,632,station zero,false
32,1997-11-28T00:00:00Z,2069,4,6321,632,station zero,false
33,1997-11-28T01:00:00Z,1859,4,6321,632,station zero,false
34,1997-11-28T02:00:00Z,1049,4,6321,632,station zero,false
35,1997-11-28T03:00:00Z,99,4,6321,632,station zero,false
36,1997-11-28T04:00:00Z,-931,4,6321,632,station zero,false
37,1997-11-28T05:00:00Z,-1751,4,6321,632,station zero,false
38,1997-11-28T06:00:00Z,-1941,4,6321,632,station zero,false
39,1997-11-28T07:00:00Z,-1521,4,6321,632,station zero,false
40,1997-11-28T08:00:00Z,-801,4,6321,632,station zero,false
41,1997-11-28T09:00:00Z,229,4,6321,632,station zero,false
42,1997-11-28T10:00:00Z,1179,4,6321,632,station zero,false
43,1997-11-28T11:00:00Z,1879,4,6321,632,station zero,false
44,1997-11-28T12:00:00Z,2029,4,6321,632,station zero,false
45,1997-11-28T13:00:00Z,1769,4,6321,632,station zero,false
46,1997-11-28T14:00:00Z,1009,4,6321,632,station zero,false
47,1997-11-28T15:00:00Z,-21,4,6321,632,station zero,false
48,1997-11-28T16:00:00Z,-1151,4,6321,632,station zero,false
49,1997-11-28T17:00:00Z,-2011,4,6321,632,station zero,false
50,1997-11-28T18:00:00Z,-2471,4,6321,632,station zero,false
51,1997-11-28T19:00:00Z,-2131,4,6321,632,station zero,false
52,1997-11-28T20:00:00Z,-1351,4,6321,632,station zero,false
53,1997-11-28T21:00:00Z,-241,4,6321,632,station zero,false
54,1997-11-28T22:00:00Z,859,4,6321,632,station zero,false
55,1997-11-28T23:00:00Z,1869,4,6321,632,station zero,false
56,1997-11-29T00:00:00Z,2429,4,6321,632,station zero,false
57,1997-11-29T01:00:00Z,2439,4,6321,632,station zero,false
58,1997-11-29T02:00:00Z,1949,4,6321,632,station zero,false
59,1997-11-29T03:00:00Z,1009,4,6321,632,station zero,false
60,1997-11-29T04:00:00Z,-141,4,6321,632,station zero,false
61,1997-11-29T05:00:00Z,-1131,4,6321,632,station zero,false
62,1997-11-29T06:00:00Z,-1791,4,6321,632,station zero,false
63,1997-11-29T07:00:00Z,-1751,4,6321,632,station zero,false
64,1997-11-29T08:00:00Z,-1071,4,6321,632,station zero,false
65,1997-11-29T09:00:00Z,-41,4,6321,632,station zero,false
66,1997-11-29T10:00:00Z,1089,4,6321,632,station zero,false
67,1997-11-29T11:00:00Z,1939,4,6321,632,station zero,false
68,1997-11-29T12:00:00Z,2309,4,6321,632,station zero,false
69,1997-11-29T13:00:00Z,2229,4,6321,632,station zero,false
70,1997-11-29T14:00:00Z,1729,4,6321,632,station zero,false
71,1997-11-29T15:00:00Z,689,4,6321,632,station zero,false
72,1997-11-29T16:00:00Z,-471,4,6321,632,station zero,false
73,1997-11-29T17:00:00Z,-1671,4,6321,632,station zero,false
74,1997-11-29T18:00:00Z,-2351,4,6321,632,station zero,false
75,1997-11-29T19:00:00Z,-2451,4,6321,632,station zero,false
76,1997-11-29T20:00:00Z,-1881,4,6321,632,station zero,false
77,1997-11-29T21:00:00Z,-961,4,6321,632,station zero,false
78,1997-11-29T22:00:00Z,249,4,6321,632,station zero,false
79,1997-11-29T23:00:00Z,1349,4,6321,632,station zero,false
80,1997-11-30T00:00:00Z,2239,4,6321,632,station zero,false
81,1997-11-30T01:00:00Z,2599,4,6321,632,station zero,false
82,1997-11-30T02:00:00Z,2299,4,6321,632,station zero,false
83,1997-11-30T03:00:00Z,1439,4,6321,632,station zero,false
84,1997-11-30T04:00:00Z,339,4,6321,632,station zero,false
85,1997-11-30T05:00:00Z,-761,4,6321,632,station zero,false
