sample_index,time_utc,type,relative_tide_mm
1,1997-11-26T17:00:00Z,low,-1751
7,1997-11-26T23:00:00Z,high,1959
13,1997-11-27T05:00:00Z,low,-1661
19,1997-11-27T11:00:00Z,high,1839
26,1997-11-27T18:00:00Z,low,-2301
32,1997-11-28T00:00:00Z,high,2069
38,1997-11-28T06:00:00Z,low,-1941
44,1997-11-28T12:00:00Z,high,2029
50,1997-11-28T18:00:00Z,low,-2471
57,1997-11-29T01:00:00Z,high,2439
62,1997-11-29T06:00:00Z,low,-1791
68,1997-11-29T12:00:00Z,high,2309
75,1997-11-29T19:00:00Z,low,-2451
81,1997-11-30T01:00:00Z,high,2599
87,1997-11-30T07:00:00Z,low,-1981
93,1997-11-30T13:00:00Z,high,2169
99,1997-11-30T19:00:00Z,low,-2901
106,1997-12-01T02:00:00Z,high,2469
112,1997-12-01T08:00:00Z,low,-1922
118,1997-12-01T14:00:00Z,high,2279
124,1997-12-01T20:00:00Z,low,-2551
130,1997-12-02T02:00:00Z,high,2849
136,1997-12-02T08:00:00Z,low,-1651
142,1997-12-02T14:00:00Z,high,2279
148,1997-12-02T20:00:00Z,low,-2851
155,1997-12-03T03:00:00Z,high,2479
161,1997-12-03T09:00:00Z,low,-1871
167,1997-12-03T15:00:00Z,high,1989
173,1997-12-03T21:00:00Z,low,-2851
180,1997-12-04T04:00:00Z,high,2299
186,1997-12-04T10:00:00Z,low,-1821
192,1997-12-04T16:00:00Z,high,1919
198,1997-12-04T22:00:00Z,low,-2721
204,1997-12-05T04:00:00Z,high,2189
210,1997-12-05T10:00:00Z,low,-1761
216,1997-12-05T16:00:00Z,high,1649
223,1997-12-05T23:00:00Z,low,-2431
229,1997-12-06T05:00:00Z,high,1919
235,1997-12-06T11:00:00Z,low,-1681
242,1997-12-06T18:00:00Z,high,1489
248,1997-12-07T00:00:00Z,low,-2121
255,1997-12-07T07:00:00Z,high,1939
261,1997-12-07T13:00:00Z,low,-1211
267,1997-12-07T19:00:00Z,high,1469
273,1997-12-08T01:00:00Z,low,-1561
279,1997-12-08T07:00:00Z,high,1909
286,1997-12-08T14:00:00Z,low,-1491
292,1997-12-08T20:00:00Z,high,1609
298,1997-12-09T02:00:00Z,low,-1631
305,1997-12-09T09:00:00Z,high,1959
311,1997-12-09T15:00:00Z,low,-1922
317,1997-12-09T21:00:00Z,high,1779
323,1997-12-10T03:00:00Z,low,-1651
330,1997-12-10T10:00:00Z,high,2079
336,1997-12-10T16:00:00Z,low,-2541
342,1997-12-10T22:00:00Z,high,1849
348,1997-12-11T04:00:00Z,low,-2011
355,1997-12-11T11:00:00Z,high,1979
361,1997-12-11T17:00:00Z,low,-2761
367,1997-12-11T23:00:00Z,high,2229
373,1997-12-12T05:00:00Z,low,-2151
380,1997-12-12T12:00:00Z,high,1989
386,1997-12-12T18:00:00Z,low,-3141
392,1997-12-13T00:00:00Z,high,2399
398,1997-12-13T06:00:00Z,low,-2231
404,1997-12-13T12:00:00Z,high,2149
411,1997-12-13T19:00:00Z,low,-3211
417,1997-12-14T01:00:00Z,high,2539
423,1997-12-14T07:00:00Z,low,-2251
429,1997-12-14T13:00:00Z,high,2179
435,1997-12-14T19:00:00Z,low,-3221
442,1997-12-15T02:00:00Z,high,2589
448,1997-12-15T08:00:00Z,low,-2091
453,1997-12-15T13:00:00Z,high,2119
460,1997-12-15T20:00:00Z,low,-3131
466,1997-12-16T02:00:00Z,high,2499
472,1997-12-16T08:00:00Z,low,-2131
